@microsoft	628949369883000832	-1
@microsoft	628976607420645377	-2
@microsoft	629023169169518592	-1
@microsoft	629179223232479232	-1
@microsoft	629186282179153920	0
@microsoft	629226490152914944	1
@microsoft	629345637155360768	-1
@microsoft	629394528336637953	-1
@microsoft	629650766580609026	1
@microsoft	629797991826722816	-2
@microsoft	630159517058142208	1
@microsoft	630542330827771904	-1
@microsoft	630636736746422272	-1
@microsoft	630807124872970240	0
@microsoft	630818265799921664	1
@microsoft	630909171437801472	0
@microsoft	630982270409572352	0
@microsoft	631104156187627520	-1
@microsoft	631223085476261890	0
@microsoft	631368262979297281	1
@microsoft	631521079245307904	1
@microsoft	631543121407442946	-1
@microsoft	631696872323850240	0
@microsoft	631792365590695936	-1
@microsoft	631842974268305408	0
@microsoft	631843393971204097	1
@microsoft	631936716522278912	0
@microsoft	632374683334258688	-1
@microsoft	632536348419690496	-1
@microsoft	632805868334153728	-1
@microsoft	632810315227467776	-1
@microsoft	632949742750687232	0
@microsoft	632983468188696576	-1
@microsoft	633041928922132480	-2
@microsoft	633119630417129476	-1
@microsoft	633500866096574464	-1
@microsoft	633594289029808128	-2
@microsoft	633628599271190528	0
@microsoft	633694793852407808	1
@microsoft	633757225945665537	2
@microsoft	634005885371711489	1
@microsoft	634036617632546816	-2
@microsoft	634098901025484800	-1
@microsoft	634107085647511553	1
@microsoft	634169076210733056	2
@microsoft	634299598467678208	-1
@microsoft	634364883040006144	-1
@microsoft	634517732067778561	-1
@microsoft	634633252020555781	0
@microsoft	634657299680858113	-2
@microsoft	634709942088409088	1
@microsoft	634728738941456384	1
@microsoft	634877877725569025	1
@microsoft	634921865916452864	-1
@microsoft	634926683284336640	-1
@microsoft	635528136743092224	-1
@microsoft	635658548265947136	1
@microsoft	635795783099387904	2
@microsoft	635914448121626624	1
@microsoft	635976557098573825	0
@microsoft	636062553009987584	1
@microsoft	636842896524726273	-2
@microsoft	636861074256592896	-2
@microsoft	636978321222467584	-2
@microsoft	637025180687167488	-1
@microsoft	637308387353432064	0
@microsoft	637338158997180416	1
@microsoft	637678387214065664	0
@microsoft	637830987108343808	-1
@microsoft	638219008542535680	-1
@microsoft	638268341052948480	1
@microsoft	638390714502619136	0
@microsoft	638497802344091648	1
@microsoft	638570993397682177	1
@microsoft	638618791711084544	1
@microsoft	638881767542263808	1
@microsoft	638971652546543616	0
@microsoft	639009525958352896	0
@microsoft	639102028296376320	-1
@microsoft	639160139820498944	1
@microsoft	639352599288877056	-1
@microsoft	639451183342596096	-2
@microsoft	639580199303016448	1
@microsoft	639716079430967296	-1
@microsoft	639820535917092864	1
@microsoft	639902509566414848	-1
@microsoft	639935724033339393	1
@microsoft	640261386417897473	-2
@microsoft	640510504159584256	1
@microsoft	640668469315403776	-1
@microsoft	640736865499217920	-2
@microsoft	640740939397492736	0
@microsoft	640871644844572672	-1
@microsoft	640987727492722688	1
@microsoft	641024489870987264	1
@microsoft	641295194583797765	0
@microsoft	641372287694823424	0
@microsoft	641382034678661120	-1
@microsoft	641626118949326848	1
@microsoft	641666486793203712	1
ac/dc	630871616575139840	2
ac/dc	631201229075533825	1
ac/dc	632260719245967360	1
ac/dc	632266628600889344	1
ac/dc	632293803072729089	1
ac/dc	632358269168807936	1
ac/dc	632362695602245632	2
ac/dc	632393299282661378	0
ac/dc	632477400178233344	2
ac/dc	632557193376587776	1
ac/dc	632598549872672768	1
ac/dc	632884348430237696	1
ac/dc	633367771191971840	1
ac/dc	633464854737633280	2
ac/dc	633547870327717888	1
ac/dc	633662951778557952	2
ac/dc	633684233005895680	1
ac/dc	633837726106841088	1
ac/dc	634596962608672768	2
ac/dc	634728000702021632	1
ac/dc	634733114456166400	2
ac/dc	634790760408350720	1
ac/dc	634842103588233217	-1
ac/dc	634869623075303424	2
ac/dc	634871374897643520	1
ac/dc	634896402594836484	1
ac/dc	635091272223617024	2
ac/dc	635116963971342337	2
ac/dc	635541261332578305	2
ac/dc	635619836538822657	1
ac/dc	635858634027724800	1
ac/dc	635952446402072576	1
ac/dc	635967581627650048	1
ac/dc	636287426235924480	2
ac/dc	636333501621661696	2
ac/dc	636380976432680960	1
ac/dc	636394431940325376	0
ac/dc	636396611900321792	2
ac/dc	636518314508976128	2
ac/dc	636542685214437377	2
ac/dc	636927985967349760	0
ac/dc	636928427082317824	1
ac/dc	636931785054638080	1
ac/dc	636977259736399872	1
ac/dc	637023375987109892	2
ac/dc	637024446360875008	1
ac/dc	637081475070844929	1
ac/dc	637112539067715584	1
ac/dc	637211482787287040	1
ac/dc	637226942668771328	1
ac/dc	637272224865521664	0
ac/dc	637273940046385152	0
ac/dc	637358551292346368	0
ac/dc	637452274655211520	1
ac/dc	637599197752098817	0
ac/dc	637809432890576896	1
ac/dc	637867653139271682	1
ac/dc	637902049967894529	1
ac/dc	638342141572460544	1
ac/dc	638358086990741504	1
ac/dc	638370183984222208	1
ac/dc	638374587525238786	1
ac/dc	638545792047972352	2
ac/dc	638683716286464001	1
ac/dc	638940182113161216	1
ac/dc	639122550287671300	1
ac/dc	639151037094469633	1
ac/dc	639159279715545089	1
ac/dc	639173291958239237	1
ac/dc	639438669443502080	1
ac/dc	639457875270742017	1
ac/dc	639537119141175297	1
ac/dc	639577639561359360	1
ac/dc	639842757289373696	1
ac/dc	640077457257795584	1
ac/dc	640214000156848128	1
ac/dc	640242420228222976	2
ac/dc	640356107274207232	1
ac/dc	640490887861137409	2
ac/dc	640529937481379841	2
ac/dc	640638429768851456	0
ac/dc	640860896282046464	2
ac/dc	640867036328009728	1
ac/dc	640893279605796866	2
ac/dc	640950156054142977	1
ac/dc	640954164437237760	2
ac/dc	640960724215439360	1
ac/dc	641018928421060608	2
ac/dc	641024188124372992	2
ac/dc	641033718275133441	1
ac/dc	641097610040877056	1
ac/dc	641133565728657408	2
ac/dc	641188113268641792	1
ac/dc	641191685234421760	2
ac/dc	641255033636454400	1
ac/dc	641368361343975424	1
ac/dc	641605506973306880	-1
ac/dc	641620412678451200	0
ac/dc	641629245790404608	1
ac/dc	641638855477731328	2
